solve_details,config,objective,solve_status,gap,nodes,time_mean,time_std,time_var,config_str,folder
"{'NOT_A_NUM': None, 'best_bound': 29.0, 'columns': 109, 'deterministic_time': 202.3520364761, 'dettime': 202.3520364761, 'gap': 0.0, 'mip_relative_gap': 0.0, 'nb_iterations': 1092, 'nb_linear_nonzeros': 455, 'nb_nodes_processed': 11, 'problem_type': 'MILP', 'quality_metrics': {}, 'status': 'integer optimal solution', 'status_code': 101, 'time': 0.187}","{'threads': 1, 'mip.strategy.search': 1, 'lpmethod': 1, 'mip.cuts.gomory': 0, 'mip.cuts.liftproj': 0, 'mip.cuts.mircut': 0, 'mip.cuts.zerohalfcut': 0}",29,integer optimal solution,0,11,0.1922333333,0.0081799891,6.69122e-05,"{""lpmethod"": 1, ""mip.cuts.gomory"": 0, ""mip.cuts.liftproj"": 0, ""mip.cuts.mircut"": 0, ""mip.cuts.zerohalfcut"": 0, ""mip.strategy.search"": 1, ""threads"": 1}",100
"{'NOT_A_NUM': None, 'best_bound': 42.0, 'columns': 164, 'deterministic_time': 28.4848213196, 'dettime': 28.4848213196, 'gap': 0.0, 'mip_relative_gap': 0.0, 'nb_iterations': 374, 'nb_linear_nonzeros': 682, 'nb_nodes_processed': 0, 'problem_type': 'MILP', 'quality_metrics': {}, 'status': 'integer optimal solution', 'status_code': 101, 'time': 0.031}","{'threads': 1, 'mip.strategy.search': 1, 'lpmethod': 1, 'mip.cuts.gomory': 0, 'mip.cuts.liftproj': 0, 'mip.cuts.mircut': 0, 'mip.cuts.zerohalfcut': 0}",42,integer optimal solution,0,0,0.038,0.0126174482,0.0001592,"{""lpmethod"": 1, ""mip.cuts.gomory"": 0, ""mip.cuts.liftproj"": 0, ""mip.cuts.mircut"": 0, ""mip.cuts.zerohalfcut"": 0, ""mip.strategy.search"": 1, ""threads"": 1}",150
"{'NOT_A_NUM': None, 'best_bound': 9.0, 'columns': 32, 'deterministic_time': 0.6265974045, 'dettime': 0.6265974045, 'gap': 0.0, 'mip_relative_gap': 0.0, 'nb_iterations': 117, 'nb_linear_nonzeros': 125, 'nb_nodes_processed': 0, 'problem_type': 'MILP', 'quality_metrics': {}, 'status': 'integer optimal solution', 'status_code': 101, 'time': 0.015}","{'threads': 1, 'mip.strategy.search': 1, 'lpmethod': 1, 'mip.cuts.gomory': 0, 'mip.cuts.liftproj': 0, 'mip.cuts.mircut': 0, 'mip.cuts.zerohalfcut': 0}",9,integer optimal solution,0,0,0.0020666667000000002,0.005272149,2.7795600000000002e-05,"{""lpmethod"": 1, ""mip.cuts.gomory"": 0, ""mip.cuts.liftproj"": 0, ""mip.cuts.mircut"": 0, ""mip.cuts.zerohalfcut"": 0, ""mip.strategy.search"": 1, ""threads"": 1}",20
"{'NOT_A_NUM': None, 'best_bound': 57.0, 'columns': 216, 'deterministic_time': 242.5547180176, 'dettime': 242.5547180176, 'gap': 0.0, 'mip_relative_gap': 0.0, 'nb_iterations': 1231, 'nb_linear_nonzeros': 892, 'nb_nodes_processed': 3, 'problem_type': 'MILP', 'quality_metrics': {}, 'status': 'integer optimal solution', 'status_code': 101, 'time': 0.25}","{'threads': 1, 'mip.strategy.search': 1, 'lpmethod': 1, 'mip.cuts.gomory': 0, 'mip.cuts.liftproj': 0, 'mip.cuts.mircut': 0, 'mip.cuts.zerohalfcut': 0}",57,integer optimal solution,0,3,0.2526333333,0.0158187301,0.0002502322,"{""lpmethod"": 1, ""mip.cuts.gomory"": 0, ""mip.cuts.liftproj"": 0, ""mip.cuts.mircut"": 0, ""mip.cuts.zerohalfcut"": 0, ""mip.strategy.search"": 1, ""threads"": 1}",200
"{'NOT_A_NUM': None, 'best_bound': 84.0, 'columns': 311, 'deterministic_time': 541.3484792709, 'dettime': 541.3484792709, 'gap': 0.0, 'mip_relative_gap': 0.0, 'nb_iterations': 3431, 'nb_linear_nonzeros': 1259, 'nb_nodes_processed': 52, 'problem_type': 'MILP', 'quality_metrics': {}, 'status': 'integer optimal solution', 'status_code': 101, 'time': 0.485}","{'threads': 1, 'mip.strategy.search': 1, 'lpmethod': 1, 'mip.cuts.gomory': 0, 'mip.cuts.liftproj': 0, 'mip.cuts.mircut': 0, 'mip.cuts.zerohalfcut': 0}",84,integer optimal solution,0,52,0.5346000000000001,0.0703806792,0.00495344,"{""lpmethod"": 1, ""mip.cuts.gomory"": 0, ""mip.cuts.liftproj"": 0, ""mip.cuts.mircut"": 0, ""mip.cuts.zerohalfcut"": 0, ""mip.strategy.search"": 1, ""threads"": 1}",300
"{'NOT_A_NUM': None, 'best_bound': 17.0, 'columns': 63, 'deterministic_time': 8.8545951843, 'dettime': 8.8545951843, 'gap': 0.0, 'mip_relative_gap': 0.0, 'nb_iterations': 128, 'nb_linear_nonzeros': 259, 'nb_nodes_processed': 0, 'problem_type': 'MILP', 'quality_metrics': {}, 'status': 'integer optimal solution', 'status_code': 101, 'time': 0.015}","{'threads': 1, 'mip.strategy.search': 1, 'lpmethod': 1, 'mip.cuts.gomory': 0, 'mip.cuts.liftproj': 0, 'mip.cuts.mircut': 0, 'mip.cuts.zerohalfcut': 0}",17,integer optimal solution,0,0,0.0156333333,0.0004818944,2.322e-07,"{""lpmethod"": 1, ""mip.cuts.gomory"": 0, ""mip.cuts.liftproj"": 0, ""mip.cuts.mircut"": 0, ""mip.cuts.zerohalfcut"": 0, ""mip.strategy.search"": 1, ""threads"": 1}",50
"{'NOT_A_NUM': None, 'best_bound': 29.0, 'columns': 109, 'deterministic_time': 202.7957801819, 'dettime': 202.7957801819, 'gap': 0.0, 'mip_relative_gap': 0.0, 'nb_iterations': 1092, 'nb_linear_nonzeros': 455, 'nb_nodes_processed': 11, 'problem_type': 'MILP', 'quality_metrics': {}, 'status': 'integer optimal solution', 'status_code': 101, 'time': 0.187}","{'threads': 1, 'mip.strategy.search': 1, 'lpmethod': 1, 'mip.cuts.gomory': 0, 'mip.cuts.liftproj': 0, 'mip.cuts.mircut': 0, 'mip.cuts.zerohalfcut': 1}",29,integer optimal solution,0,11,0.18810000000000002,0.004887739800000001,2.389e-05,"{""lpmethod"": 1, ""mip.cuts.gomory"": 0, ""mip.cuts.liftproj"": 0, ""mip.cuts.mircut"": 0, ""mip.cuts.zerohalfcut"": 1, ""mip.strategy.search"": 1, ""threads"": 1}",100
"{'NOT_A_NUM': None, 'best_bound': 42.0, 'columns': 164, 'deterministic_time': 28.4862766266, 'dettime': 28.4862766266, 'gap': 0.0, 'mip_relative_gap': 0.0, 'nb_iterations': 374, 'nb_linear_nonzeros': 682, 'nb_nodes_processed': 0, 'problem_type': 'MILP', 'quality_metrics': {}, 'status': 'integer optimal solution', 'status_code': 101, 'time': 0.031}","{'threads': 1, 'mip.strategy.search': 1, 'lpmethod': 1, 'mip.cuts.gomory': 0, 'mip.cuts.liftproj': 0, 'mip.cuts.mircut': 0, 'mip.cuts.zerohalfcut': 1}",42,integer optimal solution,0,0,0.0344333333,0.006216555,3.86456e-05,"{""lpmethod"": 1, ""mip.cuts.gomory"": 0, ""mip.cuts.liftproj"": 0, ""mip.cuts.mircut"": 0, ""mip.cuts.zerohalfcut"": 1, ""mip.strategy.search"": 1, ""threads"": 1}",150
"{'NOT_A_NUM': None, 'best_bound': 9.0, 'columns': 32, 'deterministic_time': 0.6265974045, 'dettime': 0.6265974045, 'gap': 0.0, 'mip_relative_gap': 0.0, 'nb_iterations': 117, 'nb_linear_nonzeros': 125, 'nb_nodes_processed': 0, 'problem_type': 'MILP', 'quality_metrics': {}, 'status': 'integer optimal solution', 'status_code': 101, 'time': 0.0}","{'threads': 1, 'mip.strategy.search': 1, 'lpmethod': 1, 'mip.cuts.gomory': 0, 'mip.cuts.liftproj': 0, 'mip.cuts.mircut': 0, 'mip.cuts.zerohalfcut': 1}",9,integer optimal solution,0,0,0.0015,0.0045000000000000005,2.025e-05,"{""lpmethod"": 1, ""mip.cuts.gomory"": 0, ""mip.cuts.liftproj"": 0, ""mip.cuts.mircut"": 0, ""mip.cuts.zerohalfcut"": 1, ""mip.strategy.search"": 1, ""threads"": 1}",20
"{'NOT_A_NUM': None, 'best_bound': 57.0, 'columns': 216, 'deterministic_time': 242.6850099564, 'dettime': 242.6850099564, 'gap': 0.0, 'mip_relative_gap': 0.0, 'nb_iterations': 1231, 'nb_linear_nonzeros': 892, 'nb_nodes_processed': 3, 'problem_type': 'MILP', 'quality_metrics': {}, 'status': 'integer optimal solution', 'status_code': 101, 'time': 0.234}","{'threads': 1, 'mip.strategy.search': 1, 'lpmethod': 1, 'mip.cuts.gomory': 0, 'mip.cuts.liftproj': 0, 'mip.cuts.mircut': 0, 'mip.cuts.zerohalfcut': 1}",57,integer optimal solution,0,3,0.2468333333,0.006335525900000001,4.01389e-05,"{""lpmethod"": 1, ""mip.cuts.gomory"": 0, ""mip.cuts.liftproj"": 0, ""mip.cuts.mircut"": 0, ""mip.cuts.zerohalfcut"": 1, ""mip.strategy.search"": 1, ""threads"": 1}",200
